Index,School Name,Total Enrolments,Student Teacher Ratio,One AP Test,Math Scoring,English Scoring,Graduation Rate,Minority Enrolment,Free Lunch Program,College Readiness
1,AAEC: Paradise Valley,322,N/A,N/A,42,N/A,97,28.6,N/A,N/A
2,AAEC: South Mountain,499,N/A,N/A,12,N/A,100,93.8,18,N/A
3,Accelarated :Learning Center,151,N/A,N/A,N/A,N/A,62,25.8,N/A,N/A
4,Alhambra High School,2395,18:1,5,21,N/A,70,95.8,78,14.5
5,Arcadia High School,1625,23:1,21,29,N/A,94,49,12,29.6
6,Arizona Autism Charter - Online High School,20,N/A,N/A,N/A,N/A,N/A,65,N/A,N/A
7,Arizona Autism Charter School Upper School Campus,76,N/A,N/A,30,N/A,N/A,64.5,19,N/A
8,Arizona Collegiate High School,154,N/A,N/A,30,N/A,47,99.4,89,N/A
9,Arizona Conservatory for Arts and Academics,181,N/A,11,44,N/A,88,39.2,13,16.2
10,Arizona Preparatory Academy,1499,N/A,N/A,N/A,N/A,7,69.1,N/A,N/A
11,Arizona School for the Arts,393,N/A,59,64,N/A,94,49.2,N/A,61.2
12,Arizona Virtual Academy,1370,N/A,N/A,22,N/A,71,61.2,N/A,N/A
13,Aspire Deer Valley's Online Academy,180,N/A,N/A,57,N/A,1,47.4,N/A,17.5
14,ASU Preparatory Academy- Phoenix High School,329,N/A,4,27,N/A,97,93.3,18,7.4
15,Asu Preparatory Academy - South Phoenix High School,114,N/A,N/A,N/A,N/A,88,97.8,23,N/A
16,Barry Goldwater High School,1624,20:1,6,24,N/A,88,59.4,20,9.3
17,BASIS Ahwatukee,176,N/A,100,N/A,N/A,98,77.9,N/A,100
18,BASIS Phoenix,291,N/A,100,98,N/A,97,72.3,N/A,100
19,Bostrom Alternative Center,158,6:1,N/A,N/A,N/A,20,99.4,84,14.5
20,Camelback High School,2239,19:1,5,6,N/A,82,93.2,78,14.5
21,Career and College Prep,106,N/A,N/A,N/A,N/A,15,93.4,N/A,N/A
22,Career Success Schools - Stem Academy 7-12,498,N/A,N/A,N/A,N/A,26,54.4,25,N/A
23,Carl Hayden High School,2270,20:1,6,7,N/A,69,98.6,85,7.8
24,Central High School,1970,16:1,6,12,N/A,67,93.2,88,14.5
25,City View High School,107,N/A,N/A,N/A,N/A,21,95.3,N/A,N/A
26,Continued Hope High Schools,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27,Copper State Academy,14,N/A,N/A,N/A,N/A,N/A,78.6,N/A,N/A
28,Cornerstone Charter School,178,N/A,N/A,N/A,N/A,31,85.4,83,N/A
29,Cortez High School,1085,19:1,10,12,N/A,80,87.2,35,14.3
30,Crestview College Preparatory High School,213,N/A,N/A,N/A,N/A,13%,90.6,55,
31,Desert Marigold School,41,N/A,N/A,N/A,N/A,N/A,40.7,N/A,
32,Desert Vista High School,3032,24:1,30,49,55,95,45,6,27
33,e-Institute at Metro ,58,N/A,N/A,N/A,N/A,5%,93.1,N/A,N/A
34,Empower College Prep High School,364,N/A,N/A,12,17,86,97.8,28,N/A
35,Franklin Police and Fire High School ,287,14:1,30,61,43,97,96.9,73,7.5
36,Gateway Early College High School ,309,N/A,N/A,12,12,98,98.4,80,N/A
37,Genesis Academy ,66,N/A,N/A,N/A,N/A,32,97,N/A,N/A
38,Girls Leadership Academy of Arizona ,77,N/A,N/A,N/A,N/A,90,94.8,81,N/A
39,Glenview College Preparatory High School,505,N/A,23,17,22,88,97.2,28,11.7
40,Great Hearts Academies - Maryvale Prep,150,N/A,N/A,N/A,N/A,N/A,94.7,23,N/A
41,Great Hearts Academies - North Phoenix Prep,243,N/A,N/A,67,72,92,42.1,N/A,N/A
42,Great Hearts Academies - Veritas Prep,335,N/A,N/A,67,72,94,35.4,N/A,N/A
43,Greenway High School ,1485,21.1,24,25,36,91,55.8,19,19.7
44,Hope College and Career Readiness Academy,56,9:1,N/A,N/A,N/A,34,98.2,71,N/A
45,Hope High School,157,N/A,N/A,N/A,N/A,17,93.6,N/A,N/A
46,Horizon Honors Secondary School,438,N/A,53,47,67,99,37.4,N/A,46.6
47,Intelli-School - Metro Center,84,N/A,N/A,N/A,N/A,8,73.8,N/A,N/A
48,Intelli-School - Paradise Valley,84,N/A,N/A,N/A,N/A,7,50,N/A,N/A
49,International Commerce High School - Phoenix ,308,N/A,N/A,N/A,N/A,38,93.2,N/A,N/A
50,Kaizen Education Foundation Dba Maya High School ,353,N/A,N/A,N/A,N/A,16,92.6,81,N/A
51,Kaizen Education Foundation Dba Quest High School,73,N/A,N/A,N/A,N/A,12,91.8,66,N/A
52,Kaizen Education Foundation Dba Summit High School,195,N/A,N/A,N/A,N/A,13,94.9,44,N/A
53,Kelly,2,N/A,N/A,N/A,N/A,N/A,77.4,52,N/A
54,Learning Institute The ,83,N/A,N/A,N/A,N/A,28,84.4,N/A,N/A
55,Linda Abril Educational Academy ,204,13:1,N/A,N/A,N/A,27,98,74,N/A
56,Madison Highland Prep ,475,N/A,65,47,52,97,64.2,15,48.6
57,Maricopa Institute of Technology ,329,N/A,N/A,N/A,N/A,98,91.2,18,N/A
58,Maryvale High School,2768,21:1,18,8,14,76,97.4,80,N/A
59,Metropolitan Arts Institute,196,N/A,N/A,N/A,60,94,61,N/A,28.7
60,Metro Tech High School ,1802,18:1,39,43,33,98,98.8,79,N/A
61,Midtown High School ,9,N/A,N/A,N/A,N/A,2,100,N/A,22
62,Moon Valley High School ,1451,20:1,33,22,32,91,69.3,25,11.9
63,Mountain Pointe High School ,1948,20:1,17,22,26,88,77.9,19,N/A
64,Nfl Yet College Prep Academy,265,N/A,N/A,3,12,90,97.1,83,16.6
65,North Canyon High School ,1919,23:1,27,12,22,84,77.3,23,N/A
66,Northeast Campus ,27,2:1,N/A,N/A,N/A,N/A,40.7,N/A,11.6
67,North High School ,2194,18:1,16,12,17,81,96.2,81,19.2
68,North Pointe Preparatory ,335,N/A,38,8,32,88,71.3,N/A,N/A
69,Ombudsman - Charter East ,102,N/A,N/A,N/A,N/A,12,97.1,N/A,N/A
70,Ombudsman - Charter East II,124,N/A,N/A,N/A,N/A,16,88.7,N/A,N/A
71,Ombudsman - Charter West ,90,N/A,N/A,N/A,N/A,33,56.7,N/A,N/A
72,Paideia Liberal Arts Academy ,33,N/A,N/A,N/A,N/A,N/A,94.4,28,N/A
73,Pan-American Charter School,291,N/A,35,8,17,79,98.4,90,13.7
74,Paradise Valley High School,1865,18:1,29,38,43,85,60.4,14,23.1
75,Pathways In Education ,167,N/A,N/A,N/A,N/A,24,90.4,N/A,N/A
76,Phoenix Coding Academy ,268,16:1,0,0,0,98,76.1,53,N/A
77,Phoenix College Preparatory Academy ,212,0,0,50,52,98,90.6,99,N/A
78,Phoenix Day School for the Deaf ,94,0,0,0,0,0,83.9,0,0
79,Phoenix Union Bioscience High School ,377,17:1,60,0,77,98,87.5,50,57.3
80,Phoenix Union-Wilson College Preparatory ,204,18:1,0,0,0,93,98,73,0
81,Pillar Academy Online ,22,0,0,0,0,0,81.8,23,0
82,Pinnacle High School ,2558,24:1,45,49,54,98,25.1,4,40
83,Precision Academy ,66,0,0,0,0,50,100,0,0
84,Premier Charter High School,146,0,0,0,0,35,99.3,39,0
85,Pvonline ,247,20:1,0,37,47,82,50,0,0
86,Pxu Digital Academy ,1232,79:1,0,0,0,29,95,0,0
87,West Phoenix High School,465,0,N/A,8,17,23%,96.8,90,N/A
88,West-Mec - Pinnacle High School,26,N/A,N/A,30,30,0,34.6,0,N/A
89,West-Mec - Paradise Valley High School,25,N/A,N/A,30,30,0,64,0,N/A
90,West-Mec - North Canyon High School,36,N/A,N/A,30,30,0,75,0,N/A
91,West-Mec - Barry Goldwater High School,23,N/A,N/A,30,30,0,60.9,0,N/A
92,Westland School,72,N/A,N/A,30,30,50,83.1,76,N/A
93,Western School of Science and Technology,346,N/A,43,17,32,95,99.1,26,13.5
94,Washington High School,1845,23:1,37,21,26,91,88.1,33,25.9
95,Vista Peak,24,4:1,N/A,43,46,0,40.6,33,N/A
96,Victory High School - Campus,0,N/A,N/A,30,30,0,0,0,N/A
97,Trevor Browne High School,2847,19:1,18,9,12,79,97.7,80,10.9
98,Thunderbird High School,1615,22:1,35,28,35,93,61.7,19,29.7
99,Think Through Academy,31,N/A,N/A,30,30,20,100,29,N/A
100,Tech Campus,304,N/A,N/A,0,0,17,95.7,70,N/A
101,Sweetwater Community School,220,13:1,N/A,33,40,30,66,28,N/A
102,Sunnyslope High School,2262,25:1,N/A,32,41,91,63.2,21,35
103,Southwest Leadership Academy,248,N/A,N/A,0,0,24,94.8,67,N/A
104,South Ridge High School,434,N/A,22,12,27,86,96.8,21,N/A
105,South Mountain High School,2143,18:1,11,7,15,71,98,77,5.1
106,Sonoran Science Academy - Phoenix,103,N/A,50,30,30,91,89,96,21.2
107,Skyline Prep High School,178,N/A,N/A,30,30,62,93,66,N/A
108,Shadow Mountain High School,1171,15:1,26,27,37,92,47,16,20.5
109,RSD High School,40,N/A,N/A,30,30,16,50,N/A,N/A
110,Robert L. Duffy High School,19,N/A,N/A,30,30,12,89.5,63,N/A
111,Roadrunner School,16,4:1,N/A,30,30,N/A,52,25,N/A
112,Ridgeline Academy Inc.,138,N/A,N/A,30,30,100,29,5,N/A
113,Pxu Digital Academy,1232,79:1,N/A,30,30,29,95,N/A,N/A
114,Pvonline,247,20:1,N/A,37,47,82,50,N/A,N/A
115,Premier Charter High School,146,N/A,N/A,30,30%,35,99,39,N/A